dfg,text,ddc
2.23-04,"Kognitive, systemische und Verhaltensneurobiologie",570
2.23-05,Experimentelle Modelle zum Verständnis von Erkrankungen des Nervensystems ,570
2.23-06,Molekulare und zelluläre Neurologie und Neuropathologie,610
2.23-07,Klinische Neurologie; Neurochirurgie und Neuroradiologie ,610
2.23-08,Kognitive und systemische Humanneurowissenschaften ,570
2.23-09,Biologische Psychiatrie,610
2.23-10,"Klinische Psychiatrie, Psychotherapie und Kinder- und Jugendpsychiatrie",610
2.23-11,Augenheilkunde,610
2.31-01,Bodenwissenschaften,630
2.31-02,"Pflanzenzüchtung, Pflanzenpathologie",630
2.31-03,"Pflanzenbau, Pflanzenernährung, Agrartechnik",630
2.31-04,Ökologie der Landnutzung,630
2.31-05,"Agrarökonomie, Agrarpolitik, Agrarsoziologie",630
2.31-06,Forstwissenschaften,630
2.31-07,"Tierzucht, Tierernährung, Tierhaltung",630
2.31-08,Tiermedizin,630
3.11-01,"Anorganische Molekülchemie - Synthese, Charakterisierung",540
3.11-02,"Organische Molekülchemie - Synthese, Charakterisierung",540
3.12-01,"Festkörper- und Oberflächenchemie, Materialsynthese",540
3.12-02,"Physikalische Chemie von Festkörpern und Oberflächen, Materialcharakterisierung",540
3.13-01,"Physikalische Chemie von Molekülen, Flüssigkeiten und Grenzflächen, Biophysikalische Chemie",540
3.14-01,Analytische Chemie,540
3.15-01,Biologische und Biomimetische Chemie,
3.15-02,Lebensmittelchemie,540
3.16-01,Präparative und Physikalische Chemie von Polymeren ,540
3.16-02,Experimentelle und Theoretische Polymerphysik,530
3.16-03,Polymermaterialien,540
3.17-01,"Theoretische Chemie: Elektronenstruktur, Dynamik, Simulation",540
3.17-02,"Theoretische Chemie: Moleküle, Materialien, Oberflächen",540
3.21-01,Experimentelle Physik der kondensierten Materie,530
3.21-02,Theoretische Physik der kondensierten Materie,530
3.22-01,"Statistische Physik, Nichtlineare Dynamik, Komplexe Systeme, Weiche und fluide Materie, Biologische Physik",530
3.23-01,"Optik, Quantenoptik und Physik der Atome, Moleküle und Plasmen",530
3.24-01,"Kern- und Elementarteilchenphysik, Quantenmechanik, Relativitätstheorie, Felder",530
3.25-01,Astrophysik und Astronomie,
3.31-01,Mathematik,510
3.41-01,Physik und Chemie der Atmosphäre,550
3.41-02,"Physik, Chemie und Biologie des Meeres",550
3.42-01,Geologie,550
3.42-02,Paläontologie,560
3.43-01,Physik des Erdkörpers,550
3.43-02,"Geodäsie, Photogrammetrie, Fernerkundung, Geoinformatik, Kartographie",
3.44-01,"Mineralogie, Petrologie und Geochemie",550
3.45-01,Physische Geographie,910
3.45-02,Humangeographie,910
3.46-01,"Hydrogeologie, Hydrologie, Limnologie, Siedlungswasserwirtschaft, Wasserchemie, Integrierte Wasserressourcen-Bewirtschaftung",624
4.11-01,Spanende und abtragende Fertigungstechnik,670
4.11-02,"Ur- und Umformtechnik, Additive Fertigungsverfahren",670
4.11-03,Fügetechnik und Trenntechnik,670
4.11-04,Kunststofftechnik,670
4.11-05,"Produktionssystematik, Betriebswissenschaften, Qualitätsmanagement und Fabrikplanung",650
4.11-06,Produktionsautomatisierung und Montagetechnik,670
4.12-01,"Konstruktion, Maschinenelemente, Produktentwicklung",620
4.12-02,Mechanik,620
4.12-03,"Leichtbau, Textiltechnik",620
4.12-04,Akustik,620
4.21-01,Chemische und Thermische Verfahrenstechnik ,660
4.21-02,Technische Chemie,660
4.21-03,Mechanische Verfahrenstechnik,660
4.21-04,Bioverfahrenstechnik,660
4.21-05,Systemverfahrenstechnik,660
4.22-01,Energieverfahrenstechnik,620
4.22-02,Technische Thermodynamik,620
4.22-03,Strömungsmechanik,620
4.22-04,Strömungs- und Kolbenmaschinen,620
4.31-01,"Metallurgische, thermische und thermomechanische Behandlung von Werkstoffen",620
4.31-02,Materialien und Werkstoffe der Sinterprozesse und der generativen Fertigungsverfahren ,620
4.31-03,Beschichtungs- und Oberflächentechnik,620
4.31-04,Mechanische Eigenschaften von metallischen Werkstoffen und ihre mikrostrukturellen Ursachen,620
4.31-05,Glas und Keramik und darauf basierende Verbundwerkstoffe,620
4.31-06,Polymere und biogene Werkstoffe und darauf basierende Verbundwerkstoffe,620
4.32-01,Herstellung und Eigenschaften von Funktionsmaterialien ,620
4.32-02,Biomaterialien,620
4.32-03,Thermodynamik und Kinetik sowie Eigenschaften der Phasen und Gefüge von Werkstoffen ,620
4.32-04,Computergestütztes Werkstoffdesign und Simulation von Werkstoffverhalten von atomistischer bis mikroskopischer Skala,620
4.41-01,"Automatisierungstechnik, Mechatronik, Regelungssysteme, Intelligente Technische Systeme, Robotik",
4.41-02,Messsysteme,621.3
4.41-03,Mikrosysteme,621.3
4.41-04,"Verkehrs- und Transportsysteme, Intelligenter und automatisierter Verkehr",380
4.41-05,"Arbeitswissenschaft, Ergonomie, Mensch-Maschine-Systeme",620
4.41-06,Biomedizinische Systemtechnik,621.3
4.42-01,"Elektronische Halbleiter, Bauelemente und Schaltungen, Integrierte Systeme, Sensorik, Theoretische Elektrotechnik",621.3
4.42-02,"Kommunikationstechnik und- netze, Hochfrequenztechnik und photonische Systeme, Signalverarbeitung und maschinelles Lernen für Informationstechnik",621.3
4.42-03,"Elektrische Energiesysteme, Power Management, Leistungselektronik, elektrische Maschinen und Antriebe",621.3
4.42-04,"Hardwaresysteme und -architekturen für die Informationstechnik und die Künstliche Intelligenz, Quantentechnische Systeme",004
4.43-01,Theoretische Informatik,004
4.43-02,Softwaretechnik und Programmiersprachen,004
4.43-03,"Sicherheit und Verlässlichkeit, Betriebs-, Kommunikations- und verteilte Systeme",004
4.43-04,Künstliche Intelligenz und Maschinelle Lernverfahren,004
4.43-05,"Bild- und Sprachverarbeitung, Computergraphik und Visualisierung, Human Computer Interaction, Ubiquitous und Wearable Computing",004
4.43-06,"Datenmanagement, datenintensive Systeme, Informatik-Methoden in der Wirtschaftsinformatik",004
4.43-07,"Rechnerarchitektur, eingebettete und massiv parallele Systeme",004
4.51-01,"Architektur, Bau- und Konstruktionsgeschichte, Bauforschung, Ressourcenökonomie im Bauwesen",720
4.51-02,"Städtebau/Stadtentwicklung, Raumplanung, Verkehrs- und Infrastrukturplanung, Landschaftsplanung",710
4.51-03,"Baustoffwissenschaften, Bauchemie, Bauphysik",624
4.51-04,"Konstruktiver Ingenieurbau, Bauinformatik und Baubetrieb",624
4.51-05,"Angewandte Mechanik, Statik und Dynamik",624
4.51-06,"Geotechnik, Wasserbau",624
